counter,brick_name,x,y
1,paddle,8.0,-8.0
2,paddle,-8.0,-7.999999999999998
3,paddle,8.0,-7.9999999999999964
4,paddle,-8.0,-8.0
5,paddle,-8.0,8.0
6,paddle,8.0,-8.0
7,paddle,8.0,8.0
8,paddle,8.0,-8.0
9,paddle,8.0,8.0
10,paddle,8.0,-8.0
11,paddle,8.0,8.0
12,paddle,8.0,-8.0
13,paddle,8.0,8.0
14,paddle,8.0,-8.0
15,paddle,8.0,8.0
16,paddle,8.0,-8.0
17,paddle,8.0,8.0
18,paddle,8.0,-8.0
19,paddle,8.0,8.0
20,paddle,8.0,-8.0
21,paddle,8.0,8.0
22,paddle,8.0,-8.0
23,paddle,8.0,8.0
24,paddle,8.0,-8.0
25,paddle,8.0,8.0
26,paddle,8.0,-8.0
27,paddle,8.0,8.0
28,paddle,8.0,-8.0
29,paddle,8.0,8.0
30,paddle,8.0,-8.0
31,paddle,8.0,8.0
32,paddle,8.0,-8.0
33,paddle,8.0,8.0
34,paddle,8.0,-8.0
35,paddle,8.0,8.0
36,paddle,5.266925498658679,-8.0
37,paddle,-8.0,-8.0
38,paddle,8.0,-8.0
39,paddle,-0.11010893428897361,-8.0
40,paddle,-8.0,-8.0
41,paddle,8.0,-8.0
42,paddle,-8.0,-7.999999999999998
43,paddle,-8.0,-8.0
44,paddle,-8.0,-7.999999999999998
45,paddle,6.978967025805588,-7.999999999999998
46,paddle,-8.0,-8.0
47,paddle,8.0,-7.999999999999998
48,paddle,4.032233517963881,-5.251283519407435
49,paddle,-8.0,-5.251283519407437
50,paddle,-8.0,-5.251283519407439
51,paddle,-8.0,-8.0
52,paddle,8.0,-8.0
53,paddle,-8.0,-8.0
54,paddle,-8.0,8.0
55,paddle,-8.0,-8.0
56,paddle,-8.0,8.0
57,paddle,-8.0,-8.0
58,paddle,-7.36855450915624,8.0
59,paddle,-8.0,-8.0
60,paddle,-8.0,8.0
61,paddle,-8.0,-8.0
62,paddle,-8.0,8.0
63,paddle,-8.0,-8.0
64,paddle,-8.0,8.0
65,paddle,-8.0,-8.0
66,paddle,-8.0,8.0
67,paddle,-8.0,-8.0
68,paddle,-8.0,8.0
69,paddle,-8.0,-8.0
70,paddle,-8.0,8.0
71,paddle,8.0,-8.0
72,paddle,8.0,-8.0
73,paddle,-8.0,-8.0
74,paddle,8.0,-7.999999999999998
75,paddle,8.0,-7.9999999999999964
76,paddle,8.0,-8.0
77,paddle,-8.0,-8.0
78,paddle,8.0,-8.0
79,paddle,-8.0,-8.0
80,paddle,-8.0,-8.0
81,paddle,6.347803076487139,-8.0
82,paddle,-8.0,-7.999999999999998
83,paddle,2.9032461529423443,-8.0
84,paddle,-8.0,-8.0
85,paddle,8.0,-8.0
86,paddle,7.178516009878649,-8.0
87,paddle,8.0,-8.0
88,paddle,-8.0,-8.0
89,paddle,6.506423332677272,-7.999999999999998
90,paddle,-8.0,-7.999999999999998
91,paddle,6.63762044900335,-7.999999999999998
92,paddle,-8.0,-5.536075423384434
93,paddle,-8.0,-5.536075423384434
94,paddle,-8.0,-3.641842980928054
95,paddle,0.9555233633159332,-3.641842980928054
96,paddle,3.4728041903974827,-3.641842980928053
97,paddle,-8.0,-3.641842980928053
98,paddle,-7.854980303105108,-3.641842980928053
99,paddle,8.0,-3.641842980928053
100,paddle,-8.0,-3.641842980928054
101,paddle,-8.0,-8.0
102,paddle,-8.0,-8.0
103,paddle,8.0,-7.999999999999998
104,paddle,-8.0,-8.0
105,paddle,8.0,-8.0
106,paddle,8.0,-6.4189304386269495
107,paddle,7.688671207522063,-6.4189304386269495
108,paddle,-7.85318198427316,-5.577753931081391
109,paddle,-8.0,-5.577753931081391
110,paddle,8.0,-5.577753931081391
111,paddle,-8.0,-5.577753931081391
112,paddle,-8.0,-5.577753931081391
113,paddle,8.0,-5.577753931081391
114,paddle,-8.0,-5.577753931081391
115,paddle,8.0,-5.577753931081391
116,paddle,-1.999672956783101,-5.577753931081391
117,paddle,-8.0,-5.3579712769481365
118,paddle,8.0,-5.357971276948135
