counter,brick_name,x,y
1,brick_97,8.0,8.0
2,brick_92,-8.0,8.0
3,brick_81,8.0,8.0
4,brick_93,-8.0,8.0
5,brick_91,5.774798406304228,8.0
6,brick_96,2.602643064048948,8.0
7,brick_85,-8.0,8.0
8,brick_90,-1.2633852084617274,8.0
9,brick_89,8.0,8.0
10,brick_78,-8.0,8.0
11,brick_70,3.0669127621139864,8.0
12,brick_54,7.999999999999998,-8.0
13,brick_9,-7.999999999999998,-8.0
14,brick_7,-7.999999999999998,-8.0
15,brick_5,-7.999999999999998,-8.0
16,brick_3,-7.999999999999998,-8.0
17,brick_1,-7.999999999999998,-8.0
18,brick_44,-7.9999999999999964,8.0
19,brick_88,-3.103181859993004,10.87980984869728
20,brick_80,8.0,8.000000000000004
21,brick_79,7.999999999999998,-8.0
22,brick_69,7.999999999999998,8.000000000000004
23,brick_98,-11.235940787735597,1.3242486981302086
24,brick_84,3.0141428630136424,-1.3242486981302086
25,brick_74,3.0141428630136424,1.3242486981302082
26,brick_86,-1.6656865831668197,2.8397499924841405
27,brick_68,-8.0,2.8397499924841405
28,brick_58,8.0,2.8397499924841405
29,brick_82,-6.3514085127963575,5.632387586396343
30,brick_67,2.2932036253030255,5.632387586396343
31,brick_57,8.0,5.632387586396343
32,brick_56,9.277179835022864,-3.1076879238489674
33,brick_46,9.277179835022864,3.1076879238489674
34,brick_94,-9.277179835022864,3.1076879238489674
35,brick_71,-0.2908707610704422,8.577477393289417
36,brick_87,-11.297275617254469,0.6095601920956462
37,brick_95,11.194925937486554,1.63512484361007
38,brick_83,-8.0,1.6351248436100705
39,brick_45,-8.0,1.63512484361007
40,brick_55,7.934237267923839,1.9291221398551426
41,brick_77,7.999999999999998,-1.9291221398551426
42,brick_59,-7.9999999999999964,-1.9291221398551426
43,brick_47,-7.9999999999999964,1.9291221398551421
44,brick_66,-3.809338371144591,7.294549568315011
45,brick_60,-8.777413350432894,6.337781021796754
46,brick_63,8.0,6.337781021796756
47,brick_75,-7.999999999999998,6.337781021796756
48,brick_48,8.0,6.337781021796756
49,brick_36,-8.0,6.337781021796758
50,brick_76,-10.15482469674118,-1.023231967201271
51,brick_73,10.154824696741176,-1.023231967201271
52,brick_64,4.556302607107542,9.13277476086606
53,brick_72,-8.0,7.999999999999998
54,brick_61,8.0,7.9999999999999964
55,brick_49,-8.0,7.9999999999999964
56,brick_38,8.0,7.9999999999999964
57,brick_50,-8.0,7.9999999999999964
58,brick_39,8.0,7.9999999999999964
59,brick_27,-0.1356362056676783,11.312895421584695
60,brick_32,11.313543872595286,-0.061033129213933
61,brick_43,11.313543872595282,-0.061033129213933
62,brick_42,11.313543872595282,-0.061033129213933
63,brick_31,-6.024801458358418,9.576103977472371
64,brick_53,-3.0219105806012387,-10.902662814324316
65,brick_20,-2.035345717388786,11.129122508567647
66,brick_65,-4.336213721179144,10.449748827807186
67,brick_8,7.999999999999998,-8.0
68,brick_33,8.0,8.0
69,brick_21,-8.0,8.0
70,brick_34,8.0,8.0
71,brick_22,-8.0,8.0
72,brick_10,-8.0,-8.0
73,brick_18,-8.0,-8.0
74,brick_16,-8.0,-8.0
75,brick_2,7.999999999999998,8.0
76,brick_14,7.999999999999998,-8.0
77,brick_6,1.94286301811597,11.145639653821457
78,brick_28,-1.9428630181159705,11.145639653821457
79,brick_19,4.193243600471559,-10.507935482629513
80,brick_37,-8.0,8.0
81,brick_23,3.8651760255853027,8.0
82,brick_11,8.651107903667228,7.290976069025767
83,brick_62,-8.0,7.290976069025767
84,brick_26,8.0,7.290976069025767
85,brick_15,-8.0,7.290976069025765
86,brick_52,8.0,7.290976069025765
87,brick_51,10.746031029337988,1.2965913603026813
88,brick_12,-8.10224962970096,0.18627961139695692
89,brick_24,-8.10224962970096,0.18627961139695692
90,brick_35,-2.6066814735139427,-7.673744903972944
91,brick_0,-2.6066814735139427,-7.6737449039729455
92,brick_17,-2.9898739641108047,9.19303130042157
93,brick_13,-8.0,-8.0
94,brick_41,-8.0,8.0
95,brick_25,-9.241128335497844,-6.526986064552219
96,brick_4,-9.407537879576925,4.2543834019965985
97,brick_30,5.112045266508622,-1.8908314926384477
98,brick_29,3.670243099451559,-1.8908314926384482
99,brick_40,-8.0,-1.8908314926384477
100,brick_87,8.0,-8.0
101,brick_32,8.0,-8.0
102,brick_9,-8.0,-8.0
103,brick_7,-8.0,-8.0
104,brick_5,2.4102013783636487,-11.054000602303855
105,brick_6,2.4102013783636487,-11.054000602303855
106,brick_17,11.309915801007579,0.29292417810607496
107,brick_8,-11.309915801007579,0.29292417810607496
108,brick_18,-11.309915801007579,-0.29292417810607496
109,brick_4,11.309915801007579,-0.29292417810607496
110,brick_10,-10.778734391930692,-3.437860513198656
111,brick_3,-10.778734391930692,-3.437860513198656
112,brick_1,10.778734391930692,-3.437860513198656
113,brick_19,10.778734391930692,-3.4378605131986553
114,brick_28,-10.778734391930692,-3.4378605131986544
115,brick_16,7.8986120817479115,-8.100118960982364
116,brick_20,7.8986120817479115,-8.100118960982364
117,brick_65,7.898612081747913,8.100118960982364
118,brick_98,5.954180810469367,7.999999999999998
119,brick_86,5.6485233030415,-7.999999999999998
120,brick_76,5.6485233030415,7.999999999999998
121,brick_92,-8.0,7.999999999999998
122,brick_93,-8.0,-7.999999999999998
123,brick_81,-8.0,7.999999999999998
124,brick_91,8.0,7.999999999999998
125,brick_97,-8.0,7.999999999999998
126,brick_33,-10.257768826617596,-4.772649023306893
127,brick_0,3.8514682568455765,10.637959967329774
128,brick_11,-3.8514682568455765,10.637959967329774
129,brick_90,8.0,8.0
130,brick_89,10.26424356984975,-4.758708221649869
131,brick_79,10.26424356984975,4.758708221649869
132,brick_77,-7.462630363276599,5.563672528096907
133,brick_88,7.462630363276597,5.563672528096907
134,brick_96,-8.0,5.563672528096909
135,brick_22,2.0140162282100675,-5.563672528096911
136,brick_12,2.0140162282100675,-5.563672528096912
137,brick_2,2.0140162282100675,-5.563672528096912
138,brick_14,2.0140162282100675,-5.563672528096914
139,brick_15,2.0140162282100675,-5.563672528096914
140,brick_27,2.0140162282100675,-5.563672528096912
141,brick_39,2.0140162282100675,-5.563672528096912
