counter,brick_name,x,y
1,paddle,8.0,-8.0
2,paddle,-8.0,-8.0
3,paddle,8.0,-8.0
4,paddle,8.0,-8.0
5,paddle,-8.0,-8.0
6,paddle,-8.0,-8.0
7,paddle,-8.0,-7.999999999999998
8,paddle,7.189010143666053,-7.9999999999999964
9,paddle,2.794399401326836,-8.0
10,paddle,-1.80664742745173,-8.0
11,paddle,-8.0,-8.0
12,paddle,8.0,-8.0
13,paddle,8.0,-8.0
14,paddle,3.321360539494634,-8.0
15,paddle,8.0,-8.0
16,paddle,8.0,-8.0
17,paddle,-8.0,-8.0
18,paddle,8.0,-8.0
19,paddle,-8.0,-2.354210491605766
20,paddle,-7.546985212815002,-2.354210491605766
21,paddle,-8.0,-2.354210491605766
22,paddle,8.0,-2.354210491605766
23,paddle,-8.0,-2.354210491605765
24,paddle,-8.0,-2.3542104916057642
25,paddle,8.0,-8.0
26,paddle,0.9169483605602409,-8.0
27,paddle,-8.0,-8.0
28,paddle,8.0,-8.0
29,paddle,-8.0,-8.0
30,paddle,-8.0,8.0
31,paddle,-0.330485181219899,-8.0
32,paddle,-8.0,8.0
33,paddle,-8.0,-8.0
34,paddle,-8.0,8.0
35,paddle,-8.0,-8.0
36,paddle,-8.0,8.0
37,paddle,-8.0,-8.0
38,paddle,-8.0,8.0
39,paddle,-8.0,-8.0
40,paddle,-8.0,8.0
41,paddle,-8.0,-8.0
42,paddle,-8.0,8.0
43,paddle,8.0,-8.0
44,paddle,8.0,8.0
45,paddle,8.0,-8.0
46,paddle,8.0,8.0
47,paddle,8.0,-8.0
48,paddle,-8.0,-8.0
49,paddle,-8.0,-6.9774233436951505
50,paddle,8.0,-6.977423343695149
51,paddle,-8.0,-6.977423343695149
52,paddle,-8.0,-4.196440715149292
53,paddle,-8.0,-5.235145655243975
54,paddle,8.0,-5.235145655243975
55,paddle,8.0,-5.235145655243975
56,paddle,-1.3021817998556608,-7.748987825158578
57,paddle,-8.0,-7.748987825158578
58,paddle,1.0919549017539794,-7.748987825158577
59,paddle,-7.508101725396273,-7.748987825158577
60,paddle,8.0,-7.748987825158577
61,paddle,-8.0,-7.748987825158577
62,paddle,8.0,-7.748987825158577
63,paddle,8.0,-7.748987825158577
64,paddle,-6.824617438356924,-7.748987825158577
65,paddle,-8.0,-7.748987825158577
66,paddle,-8.0,-7.748987825158577
67,paddle,-8.0,-7.748987825158577
68,paddle,-8.0,-7.748987825158577
69,paddle,5.587048000508219,-7.748987825158575
70,paddle,8.0,-7.748987825158575
71,paddle,-8.0,-7.748987825158575
72,paddle,8.0,-7.748987825158573
73,paddle,-8.0,-7.748987825158573
74,paddle,-6.452146494443127,-7.748987825158573
75,paddle,-8.0,-7.748987825158573
76,paddle,4.6364301553524,-7.748987825158573
77,paddle,8.0,-7.748987825158573
78,paddle,8.0,-7.748987825158573
79,paddle,3.8539639428450414,-7.748987825158573
80,paddle,-1.4940039170010664,-7.748987825158573
81,paddle,-8.0,-7.748987825158573
82,paddle,0.34783587672342264,-7.748987825158573
83,paddle,-8.0,-7.748987825158573
84,paddle,3.9616370461373265,-7.748987825158573
85,paddle,8.0,-7.748987825158573
86,paddle,8.0,-7.748987825158573
87,paddle,-1.8712365556999373,-7.748987825158573
88,paddle,-8.0,-7.748987825158573
89,paddle,-8.0,-7.748987825158573
90,paddle,-1.1437586834465492,-7.748987825158573
91,paddle,8.0,-7.748987825158573
92,paddle,3.0499780778191194,-7.748987825158573
93,paddle,-8.0,-8.0
94,paddle,8.0,-8.0
95,paddle,8.0,-8.0
96,paddle,8.0,8.0
97,paddle,8.0,-8.0
98,paddle,-5.485547611004222,8.0
99,paddle,-2.3562650663107547,-8.0
100,paddle,8.0,8.0
101,paddle,8.0,-8.0
102,paddle,8.0,8.0
103,paddle,8.0,-8.0
104,paddle,8.0,8.0
105,paddle,8.0,-8.0
106,paddle,8.0,8.0
107,paddle,8.0,-8.0
108,paddle,8.0,8.0
109,paddle,8.0,-8.0
110,paddle,8.0,8.0
111,paddle,8.0,-8.0
112,paddle,8.0,8.0
113,paddle,8.0,-8.0
114,paddle,8.0,8.0
115,paddle,8.0,-8.0
116,paddle,8.0,8.0
117,paddle,8.0,-8.0
118,paddle,8.0,8.0
119,paddle,8.0,-8.0
120,paddle,8.0,8.0
121,paddle,8.0,-8.0
122,paddle,8.0,8.0
123,paddle,8.0,-8.0
124,paddle,8.0,8.0
125,paddle,8.0,-8.0
126,paddle,8.0,8.0
127,paddle,8.0,-8.0
128,paddle,8.0,8.0
129,paddle,8.0,-8.0
130,paddle,8.0,8.0
131,paddle,8.0,-8.0
132,paddle,8.0,8.0
133,paddle,8.0,-8.0
134,paddle,8.0,8.0
135,paddle,8.0,-8.0
136,paddle,8.0,8.0
137,paddle,8.0,-8.0
138,paddle,8.0,8.0
139,paddle,8.0,-8.0
140,paddle,8.0,8.0
