counter,brick_name,x,y
1,brick_94,8,-8
2,brick_95,-8.0,-8.0
3,brick_88,8.0,-8.0
4,brick_98,8.0,-8.0
5,brick_87,-8.0,-8.0
6,brick_22,8.0,-8.0
7,brick_1,8.0,8.0
8,brick_2,8.0,8.000000000000004
9,brick_4,8.0,8.000000000000004
10,brick_6,8.0,8.000000000000004
11,brick_7,8.0,8.000000000000004
12,brick_9,8.0,8.000000000000004
13,brick_10,8.0,8.000000000000004
14,brick_21,-8.0,8.000000000000004
15,brick_32,-11.098137010415144,2.1980343259498376
16,brick_31,-3.4053846891555235,10.78903865591672
17,brick_43,3.4053846891555235,10.78903865591672
18,brick_93,-8.0,-8.0
19,brick_90,8.0,-7.999999999999998
20,brick_65,-7.189010143666053,-7.9999999999999964
21,brick_8,-7.189010143666053,7.9999999999999964
22,brick_5,-10.400799681049698,2.7395680025160765
23,brick_17,10.400799681049698,2.7395680025160765
24,brick_18,-10.400799681049698,2.7395680025160765
25,brick_0,10.400799681049698,2.7395680025160765
26,brick_11,10.400799681049701,2.7395680025160765
27,brick_33,10.400799681049701,2.7395680025160765
28,brick_16,9.740034306607335,4.562192296675544
29,brick_54,-9.740034306607335,4.562192296675544
30,brick_53,-10.718797748939473,0.8883927414514003
31,brick_64,-10.718797748939473,0.8883927414514003
32,brick_76,-10.718797748939473,0.8883927414514003
33,brick_75,-10.738603902322986,0.6035338223719504
34,brick_86,-10.73860390232299,0.6035338223719504
35,brick_97,-10.73860390232299,0.6035338223719504
36,brick_42,-3.128987920787245,-10.290349918117505
37,brick_96,-1.80664742745173,-8.0
38,brick_79,-8.0,-8.0
39,brick_83,8.0,-8.0
40,brick_84,-8.0,-8.0
41,brick_92,3.321360539494634,-8.0
42,brick_20,-8.0,-8.0
43,brick_63,-8.0,-8.0
44,brick_74,-8.0,8.0
45,brick_91,-8.0,-8.0
46,brick_81,8.0,-8.0
47,brick_52,-8.0,-2.354210491605766
48,brick_62,-8.0,2.354210491605766
49,brick_51,-7.546985212815002,-2.354210491605766
50,brick_41,7.546985212815002,-2.354210491605766
51,brick_40,-8.0,-2.354210491605766
52,brick_50,-8.0,2.354210491605766
53,brick_80,-8.0,-2.354210491605766
54,brick_82,8.0,-2.354210491605765
55,brick_85,-8.0,-2.3542104916057642
56,brick_73,-8.0,-8.0
57,brick_70,0.9169483605602409,-8.0
58,brick_44,8.0,-8.0
59,brick_12,3.275877454570373,10.829063990144187
60,brick_55,-6.282688138890337,9.408922879344196
61,brick_23,6.282688138890337,9.4089228793442
62,brick_66,-6.282688138890337,9.4089228793442
63,brick_34,6.282688138890337,9.4089228793442
64,brick_77,10.26979846404761,4.746708281308791
65,brick_13,5.126962047747581,10.08534878727335
66,brick_3,5.126962047747581,10.08534878727335
67,brick_15,5.126962047747581,10.08534878727335
68,brick_27,5.126962047747581,10.08534878727335
69,brick_28,5.126962047747581,10.08534878727335
70,brick_19,5.126962047747581,10.08534878727335
71,brick_61,-8.0,-8.0
72,brick_29,-0.42191022764770647,-11.305838834859015
73,brick_39,-8.0,8.0
74,brick_69,-8.0,-8.0
75,brick_59,8.905928558149228,-6.9774233436951505
76,brick_71,-8.0,-6.9774233436951505
77,brick_60,8.0,-6.977423343695149
78,brick_72,8.0,6.977423343695149
79,brick_49,8.0,-6.977423343695149
80,brick_30,8.0,-4.196440715149292
81,brick_89,8.0,4.196440715149292
82,brick_78,8.0,-5.235145655243975
83,brick_48,-8.0,-5.235145655243975
84,brick_26,-8.0,5.235145655243975
85,brick_14,-5.599994439029742,7.748987825158575
86,brick_67,-1.3021817998556608,-7.748987825158578
87,brick_58,8.0,-7.748987825158578
88,brick_38,-7.508101725396273,-7.748987825158577
89,brick_24,8.0,7.748987825158577
90,brick_35,-8.0,7.748987825158577
91,brick_37,6.824617438356924,-7.748987825158577
92,brick_47,-8.0,-7.748987825158577
93,brick_68,-8.0,-7.748987825158577
94,brick_57,8.0,-7.748987825158577
95,brick_56,8.0,-7.748987825158575
96,brick_45,-6.452146494443127,-7.748987825158573
97,brick_36,8.0,-7.748987825158573
98,brick_46,-8.0,-7.748987825158573
99,brick_25,3.0499780778191194,7.748987825158573
100,brick_96,8,-8
101,brick_93,-8.0,-8.0
102,brick_94,8.0,-8.0
103,brick_85,-8,-8
104,brick_95,-8.0,8.0
105,brick_91,-8.0,-8.0
106,brick_92,8.0,-8.0
107,brick_80,-8.0,-8.0
108,brick_83,8.0,-8.0
109,brick_82,-8.0,-7.999999999999998
110,brick_71,-8.0,-7.323761557602555
111,brick_90,5.4153856237835,-7.323761557602555
112,brick_54,-8.0,-7.323761557602555
113,brick_43,-10.632932024739887,-2.1396821983364536
114,brick_65,-3.1807087822418083,10.369212843566615
115,brick_84,-8.0,-8.0
116,brick_88,8.0,-8.0
117,brick_98,8.0,-7.999999999999998
118,brick_81,-5.76325137080039,-7.999999999999998
119,brick_69,8.0,-7.999999999999998
120,brick_97,-8.0,-7.999999999999998
121,brick_33,8.0,-7.999999999999998
122,brick_89,8.0,-8.0
123,brick_60,-0.8243726161840073,-7.999999999999998
124,brick_44,8.0,-7.9999999999999964
125,brick_1,8.0,7.9999999999999964
126,brick_3,8.0,7.9999999999999964
127,brick_5,8.0,7.9999999999999964
128,brick_7,8.0,7.9999999999999964
129,brick_9,8.0,7.9999999999999964
130,brick_10,8.0,7.9999999999999964
131,brick_21,-8.0,7.9999999999999964
132,brick_8,-8.0,7.999999999999995
133,brick_6,-8.0,7.999999999999995
134,brick_4,-8.0,7.999999999999995
135,brick_14,-7.249560915840852,8.685842879508739
136,brick_12,-7.249560915840852,8.685842879508739
137,brick_55,7.249560915840852,8.685842879508739
138,brick_74,8.0,-8.0
139,brick_70,-8.0,-8.0
140,brick_49,8.0,-8.0
141,brick_72,-8.0,-7.999999999999998
142,brick_73,8.0,-7.9999999999999964
143,brick_48,-8.0,-7.999999999999995
144,brick_38,8.0,-7.999999999999995
145,brick_61,-8.0,-7.9999999999999964
146,brick_79,8.0,-7.999999999999995
147,brick_87,4.111037728019085,-7.9999999999999964
148,brick_59,-8.0,-7.999999999999995
149,brick_27,8.0,-7.9999999999999964
150,brick_50,8.0,7.999999999999995
151,brick_16,8.0,-7.999999999999995
152,brick_28,8.0,7.9999999999999964
153,brick_39,2.5480628154389473,11.02303841454693
154,brick_66,8.0,-8.0
155,brick_11,8.0,-8.0
156,brick_23,8.0,8.0
157,brick_2,8.0,-8.0
158,brick_77,8.0,8.0
159,brick_45,8.0,-8.0
160,brick_40,8.0,-8.0
161,brick_26,-11.157367200923144,-1.8743417894728909
162,brick_62,-8.0,-8.0
163,brick_78,8.0,-8.0
164,brick_51,-8.0,-6.6743746517153095
165,brick_17,8.0,-6.6743746517153095
166,brick_13,-8.0,6.674374651715308
167,brick_67,8.0,6.674374651715306
168,brick_63,8.0,-8.0
169,brick_15,-8.0,-8.0
170,brick_18,11.166855687238428,-1.816957363393759
171,brick_20,11.166855687238431,1.816957363393759
172,brick_0,-11.166855687238431,1.816957363393759
173,brick_31,-11.166855687238431,1.816957363393759
174,brick_19,-11.166855687238431,-1.8169573633937586
175,brick_24,11.166855687238428,1.8169573633937586
176,brick_22,-11.166855687238428,1.8169573633937581
177,brick_56,-8.0,-6.581138424124511
178,brick_76,8.0,-6.581138424124511
179,brick_37,8.0,6.5811384241245126
180,brick_30,8.0,6.5811384241245126
181,brick_32,-8.0,6.581138424124514
182,brick_68,5.394852996297928,-6.581138424124514
183,brick_25,8.0,6.5811384241245126
184,brick_29,8.0,6.581138424124514
185,brick_41,8.0,-6.581138424124516
186,brick_35,-8.0,6.581138424124516
187,brick_86,-8.0,-6.581138424124516
188,brick_75,8.0,-6.581138424124516
189,brick_64,-8.0,-6.581138424124516
190,brick_57,6.989514672404937,-6.581138424124516
191,brick_52,-8.0,-6.581138424124518
192,brick_34,8.0,-6.581138424124516
193,brick_58,8.0,-6.581138424124516
194,brick_46,8.0,-6.581138424124516
195,brick_42,-8.0,-6.581138424124516
196,brick_36,-9.443991634519556,4.2570418091220095
197,brick_53,-8.0,4.2570418091220095
198,brick_47,-8.0,-8.0
199,brick_97,8,-8
200,brick_92,-8.0,-8.0
201,brick_91,8.0,-8.0
202,brick_98,-8.0,-8.0
203,brick_95,3.3283888136008954,-8.0
204,brick_86,-8.0,-8.0
205,brick_66,8.0,-8.0
206,brick_44,10.628900688856202,-3.8763991211473723
207,brick_55,7.063159719658653,8.838086601442162
208,brick_96,8.0,-8.0
209,brick_93,-7.8723595087107014,-8.0
210,brick_89,8.0,-8.0
211,brick_78,-8.0,-8.0
212,brick_67,-0.36018424174173447,-7.999999999999998
213,brick_68,7.121391346612057,-7.9999999999999964
214,brick_56,-7.121391346612059,-7.9999999999999964
215,brick_88,-7.121391346612059,7.9999999999999964
216,brick_32,-8.0,-7.9999999999999964
217,brick_33,-8.0,-8.0
218,brick_75,8.0,-8.0
219,brick_87,8.0,8.0
220,brick_22,8.0,-8.0
221,brick_45,8.0,8.0
222,brick_77,-7.999999999999998,8.0
223,brick_23,10.622663228457256,-3.893459378853464
224,brick_11,-10.622663228457256,-3.893459378853464
225,brick_79,10.622663228457256,3.893459378853464
226,brick_94,-3.5297578276265114,-3.893459378853464
227,brick_83,8.0,-3.893459378853465
228,brick_90,8.0,-3.893459378853464
229,brick_54,-8.0,-5.215755142400996
230,brick_81,-8.0,-8.0
231,brick_70,8.0,-8.0
232,brick_82,8.0,8.0
233,brick_80,8.0,-8.0
234,brick_64,-8.0,-8.0
235,brick_85,-8.0,8.0
236,brick_76,2.0090455078334344,-8.0
237,brick_72,-8.0,-8.0
238,brick_69,8.0,-8.0
239,brick_61,8.0,-7.878509269815103
240,brick_73,8.0,7.878509269815103
241,brick_43,-8.0,-8.0
242,brick_31,-11.105789222229141,-2.1590381542295605
243,brick_21,11.105789222229141,-2.1590381542295605
244,brick_53,-11.105789222229141,2.1590381542295605
245,brick_65,11.105789222229141,2.1590381542295605
246,brick_20,-11.105789222229141,-2.1590381542295596
247,brick_42,-11.105789222229141,2.1590381542295596
248,brick_30,-11.105789222229141,-2.1590381542295596
249,brick_10,11.105789222229141,-2.1590381542295596
250,brick_41,-11.105789222229141,2.1590381542295596
251,brick_57,-8.0,-8.0
252,brick_12,8.0,-3.5763027600927266
253,brick_0,-8.0,-3.5763027600927266
254,brick_1,8.0,-3.5763027600927257
255,brick_6,8.428962378321494,2.396358624389867
256,brick_9,-8.428962378321494,2.3963586243898662
257,brick_52,-8.428962378321497,2.3963586243898662
258,brick_19,-8.0,-2.3963586243898662
259,brick_29,-8.0,2.3963586243898662
260,brick_58,-5.72832625809218,-2.3963586243898662
261,brick_2,2.937751037775799,2.3963586243898662
262,brick_4,2.937751037775799,2.3963586243898662
263,brick_7,2.937751037775799,2.3963586243898662
264,brick_34,8.0,-2.3963586243898662
265,brick_18,-8.0,-5.356354440630986
266,brick_8,8.456356459060878,-4.6022351451188
267,brick_71,8.0,-4.6022351451188
268,brick_60,-1.9930985391549711,-4.602235145118798
269,brick_3,-8.0,4.602235145118798
270,brick_15,8.0,4.602235145118798
271,brick_50,8.0,-4.6022351451188
272,brick_62,8.0,4.6022351451188
273,brick_14,-8.0,4.6022351451188
274,brick_13,-2.8537300102303647,8.777060633246034
275,brick_25,2.8537300102303647,8.777060633246034
276,brick_26,2.8537300102303647,8.777060633246034
277,brick_5,2.8537300102303647,8.777060633246034
278,brick_16,2.8537300102303647,8.777060633246034
279,brick_17,2.8537300102303647,8.777060633246034
280,brick_40,2.8537300102303647,8.777060633246034
281,brick_84,-5.358927247691682,-8.0
282,brick_37,8.0,8.0
283,brick_63,8.0,7.999999999999998
284,brick_74,-11.264782320277698,1.0510372385215359
285,brick_51,-8.0,-1.0510372385215359
286,brick_39,-8.0,-7.58379273601256
287,brick_59,8.0,-7.583792736012562
288,brick_48,-7.567742841313816,-7.583792736012562
289,brick_49,8.0,-7.583792736012562
290,brick_28,-8.0,7.583792736012562
291,brick_46,-8.0,-7.583792736012562
292,brick_35,8.0,-7.583792736012562
293,brick_24,10.967111897845424,-1.1119212575242345
